Date of Death,KC0_male,KC0_female,KC1_male,KC1_female,KC2_male,KC2_female,ML1_male,ML1_female,ML2_male,ML2_female,WI0_male,WI0_female,WI1_male,WI1_female,WI2_male,WI2_female,LI0_male,LI0_female,LI1_male,LI1_female,LI2_male,LI2_female
1/3/20,,,,,,,,,1,,,,,,,,,,,,,
1/5/20,,,,,,,1,,1,,,,,,,,,,,,,
1/6/20,,,,,,,,,,,,,,,,,,,,,,
1/7/20,,,,,,,1,1,,,,,,,,,,,,,,
1/8/20,,,1,,,,2,,2,,,,,,,,,,,,,
1/10/20,,,,,,,8,,3,,,,,,,,,,,,,
1/11/20,,,3,,,1,2,1,4,,,,,,,,,,,,,
1/12/20,1,1,1,1,,,22,7,18,4,,,,,,,,,,,,
1/13/20,,,,,1,,2,,2,1,,,,,,,,,,,,
1/14/20,,,2,1,11,2,9,4,10,,,,,,,,,,,,,
1/15/20,8,2,21,4,13,11,36,19,35,16,,,,,,,,,,,,
1/16/20,6,3,5,1,3,7,4,9,4,7,,,,,,,,,,,,
1/17/20,4,9,,,,1,2,4,2,,,,,,,,,,,,,
1/18/20,1,2,2,,,1,,4,,,,,,,,,,,,,,
1/19/20,,1,3,3,,2,1,2,,1,1,,,,,,,,,,,
1/20/20,1,1,,1,,2,,2,,1,1,,,,,,,,,,,
1/21/20,1,1,,1,3,1,2,3,1,2,,,,,,,,,,,,
1/22/20,,,3,3,3,2,2,1,8,13,1,,2,,,,,,,,,
1/23/20,2,2,1,4,1,2,2,1,2,1,1,,1,1,,,,,,,,
1/24/20,1,2,,2,1,2,,1,2,2,,,,,,,,,,,,
1/25/20,1,,,1,,,3,3,,3,1,,2,,,,,,,,,
1/26/20,4,2,1,,,2,7,5,1,1,4,1,,,,,,,,,1,
1/27/20,4,1,3,4,1,1,4,2,6,2,4,2,,,,,,,,,,
1/28/20,3,1,3,3,1,2,4,2,9,14,,,,,,,1,,,,,
1/29/20,2,3,4,3,2,3,10,5,18,27,1,,2,,2,1,3,,4,2,1,
1/30/20,3,5,1,1,3,4,7,4,,1,2,,4,,2,1,,,1,3,,1
1/31/20,9,3,3,3,4,3,3,3,,1,2,,1,,1,,1,,2,,,1
2/1/20,1,1,4,4,6,1,1,2,,,3,1,1,,1,,,,4,1,,1
2/2/20,2,,,2,2,,1,1,,2,,1,2,,,,,,,,2,
2/3/20,1,2,1,7,,2,,2,,,2,,1,,,1,2,1,1,,3,
2/4/20,1,6,8,7,1,4,,1,,,,,36,6,3,,18,,9,,3,
2/5/20,9,13,9,24,3,2,,3,,,,,49,31,31,7,47,16,70,21,39,5
2/6/20,1,9,1,5,2,4,1,2,,,2,,8,29,22,6,25,18,25,15,28,22
2/7/20,1,4,,1,1,2,,,,,3,1,1,2,11,6,3,1,,1,8,6
2/8/20,2,3,,1,6,1,,3,,,7,3,,6,18,20,4,3,2,1,8,3
2/9/20,,,,,1,,,1,,,6,1,1,2,1,6,,1,,,2,2
2/10/20,1,2,,1,2,1,,,,,6,1,,1,2,5,1,,2,3,2,1
2/11/20,,2,,,2,4,,,,,5,1,1,2,,2,1,1,,,2,
2/12/20,2,3,,1,,,,,,,27,10,,1,,1,,,3,2,6,2
2/13/20,2,2,,1,,,,,,,22,26,,,,,,1,2,8,2,3
2/14/20,,2,,2,1,1,,,,,,3,,1,,,1,9,,,4,3
2/15/20,1,2,,,1,,,,,,,2,,1,,1,2,6,1,1,4,7
2/16/20,,1,,,1,,,,,,2,1,,2,,1,,2,,,1,
2/17/20,,1,1,1,,2,,,,,2,1,,,,,1,,,1,,
2/18/20,,,,,,1,,,,,1,3,,,,4,,2,1,10,1,
2/19/20,2,,2,1,3,4,,,,,1,6,,1,,2,,2,3,17,2,9
2/20/20,,2,,3,1,4,,,,,,9,,3,,1,1,1,,3,1,8
2/21/20,,,2,1,,1,,,,,,6,,,,2,1,1,,,,
2/22/20,1,1,1,,,1,,,,,1,8,,,,3,1,4,,1,,
2/23/20,1,1,,,,,,,,,,3,,,,1,1,8,,1,1,
2/24/20,,,,1,1,1,,,,,,,,1,,2,,1,,,1,
2/25/20,,2,1,,,2,,,,,,2,,1,,2,,3,,,,1
2/26/20,4,2,1,,2,2,,,,,,2,,5,,1,1,2,,,,
2/27/20,,1,3,3,,1,,,,,,5,,6,1,8,,1,,,1,4
2/28/20,,,,2,1,4,,,,,,,,2,,2,,2,,,,3
2/29/20,,,,,2,1,,,,,1,,,,,1,,2,,,,1
3/1/20,,1,,,,1,,,,,1,,,,,,,2,,,,1
3/2/20,,1,,,,,,,,,,,,,,2,,,,,,
3/3/20,,,,,,1,,,,,,,,,,1,,,,1,,1
3/4/20,,,1,1,,1,,,,,,,,,,1,,,,,1,1
3/5/20,,,,1,,1,,,,,,,,,,,,,,,,
3/6/20,,1,,,,,,,,,,,,,,1,,,,,,1
3/7/20,,,,,,,,,,,,1,,,,,,,,,,1
3/8/20,,,,,,,,,,,,1,,,,,,,,,,
3/9/20,,,,2,,1,,,,,,,,,,,,,,,,1
3/10/20,,,2,,,1,,,,,,,,,,,,,,,,1
3/11/20,,,1,,2,,,,,,,,,,,,,,,,,1
3/12/20,1,2,1,1,,,,,,,,,,,,,,,,,,
3/14/20,,1,,,,,,,,,,,,,,,,,,,,3
3/15/20,,1,,,,3,,,,,,,,,,,,,,,,1
3/16/20,,,,,1,1,,,,,,,,,,,,,,,,
3/17/20,1,,1,,,1,,,,,,,,,,,,,,,,
3/18/20,3,1,2,4,1,2,,,,,,,,,,,,,,,,
3/19/20,,,,1,1,1,,,,,,1,,,,,,,,,,1
3/20/20,,1,,,,,,,,,,,,,,,,,,,,
3/21/20,,1,,,,,,,,,,,,,,,,,,,,
3/22/20,,,,,,,,,,,,,,1,,,,,,,,
3/26/20,,,,,,,,,,,1,1,,,,,,,,,,
3/28/20,,,,,,1,,,,,,,,,,,,,,,,
3/29/20,,,1,,1,,,,,,,,,,,,,,,,,
3/31/20,,1,,,,,,,,,,,,,,,,,,,,
4/1/20,2,,,,,,,,,,,,,,,,,,,,,
4/2/20,,,1,,,,,,,,,,,,,,,,,,,
4/7/20,,1,,,,1,,,,,,,,,,,,,,,,
4/8/20,,,1,1,,,,,,,,,,,,,,,,,,
4/10/20,,1,,,,,,,,,,,,,,,,,,,,
4/13/20,,1,,,,,,,,,,,,,,,,,,,,
4/15/20,,,,,,2,,,,,,,,,,,,,,,,
4/16/20,1,,1,,,,,,,,,,,,,,,,,,,
4/17/20,,,1,,,1,,,,,,,,,,,,,,,,