Date,KC0,KC1,KC2,ML1,ML2,WI0,WI1,WI2,LI0,LI1,LI2
1/8/20,,60,33,66,113,,,,,,
1/10/20,158,64,91,236,102,,,,,,
1/12/20,467,245,369,253,43,,,,,,
1/15/20,774,383,603,320,475,,,,,,
1/17/20,181,279,139,337,434,,,,,,
1/19/20,189,487,465,531,1113,,,,,,
1/22/20,623,856,738,1127,1738,103,49,164,,71,54
1/24/20,1017,1200,657,215,310,49,73,122,90,293,119
1/26/20,907,574,554,289,179,171,116,210,67,138,113
1/29/20,1030,784,652,175,194,286,264,455,174,334,254
1/31/20,262,285,165,2,,498,538,598,304,342,350
2/2/20,308,376,193,13,,372,441,451,324,178,358
2/5/20,256,307,190,18,,484,475,601,158,379,214
2/7/20,97,5,117,,,352,5,61,94,57,98
2/9/20,166,78,47,,,510,10,158,84,13,194
2/12/20,252,202,298,,,251,14,18,57,106,371
2/14/20,84,99,281,,,2,8,20,139,138,59
2/16/20,184,234,61,,,1,,,24,69,18
2/19/20,405,171,576,,,,,1,16,10,10
2/21/20,174,38,291,,,,,,,,
2/23/20,7,5,48,,,,,1,2,,
2/26/20,33,107,108,,,,,,,,2
2/28/20,157,,75,,,,,,,,2
3/1/20,3,74,135,,,,,2,,,
3/4/20,141,166,133,,,,,,,,
3/6/20,108,29,190,,,,,,,,
3/8/20,121,28,237,,,,,,,,
3/11/20,51,228,63,,,,,,,,
3/13/20,75,99,156,,,,,,,,
3/15/20,7,1,12,,,,,,,,
3/18/20,88,29,23,,,,,,,,
3/27/20,,,72,,,,,,,,
4/5/20,,94,,,,,,,,,
4/8/20,125,,,,,,,,,,
4/10/20,61,,,,,,,,,,
4/12/20,11,,,,,,,,,,