Date of Eclosion,KC0_male,KC0_female,KC1_male,KC1_female,KC2_male,KC2_female,ML1_male,ML1_female,ML2_male,ML2_female,WI0_male,WI0_female,WI1_male,WI1_female,WI2_male,WI2_female,LI0_male,LI0_female,LI1_male,LI1_female,LI2_male,LI2_female
12/31/19,,,,,,,1,,1,,,,,,,,,,,,,
1/1/20,,,,1,,,5,,5,,,,,,,,,,,,,
1/2/20,2,,,,,,4,,5,,,,,,,,,,,,,
1/3/20,,,1,,1,,2,1,2,,,,,,,,,,,,,
1/4/20,2,,1,,1,1,2,1,,2,,,,,,,,,,,,
1/5/20,1,,1,1,2,,,5,1,2,,,,,,,,,,,,
1/6/20,3,,3,1,3,2,,2,1,1,,,,,,,,,,,,
1/7/20,1,3,2,,2,1,5,2,9,,,,,,,,,,,,,
1/8/20,5,5,8,3,4,5,16,2,14,1,,,,,,,,,,,,
1/9/20,8,5,11,,8,3,19,2,18,2,,,,,,,,,,,,
1/10/20,1,5,5,4,2,5,17,7,20,8,,,,,,,,,,,,
1/11/20,3,3,5,4,2,7,12,13,14,10,,,,,,,,,,,,
1/12/20,2,1,4,4,7,1,11,16,13,13,,,,,,,,,,,,
1/13/20,7,2,3,2,2,3,12,8,13,8,,,,,1,,,,,,,
1/14/20,6,4,8,3,5,6,12,15,8,14,3,,2,,,1,,,,,,
1/15/20,8,3,4,5,5,3,9,13,9,19,1,1,2,1,3,1,2,,4,,2,
1/16/20,5,,4,1,2,2,2,5,,5,3,2,4,,2,1,2,,2,,2,1
1/17/20,3,8,6,6,7,7,8,3,5,9,2,,4,3,5,,5,,1,,4,
1/18/20,7,6,1,6,4,3,2,3,1,5,6,,3,,3,1,5,2,3,3,4,
1/19/20,2,8,6,16,4,6,3,4,1,2,2,2,4,2,1,3,2,1,5,4,4,1
1/20/20,1,4,,4,4,4,,,,,4,5,3,1,4,3,3,2,2,3,6,2
1/21/20,1,11,3,3,3,3,,,,,6,,6,3,6,1,9,1,,2,4,2
1/22/20,1,3,1,9,,3,,,,,10,1,8,1,12,1,2,1,8,1,5,3
1/23/20,1,2,1,1,2,3,,,,,15,4,18,,13,5,9,6,4,2,6,2
1/24/20,1,2,,2,1,2,,,,,24,10,19,9,27,8,12,5,19,5,11,6
1/25/20,1,3,2,1,,4,,,,,11,8,16,7,12,8,12,3,15,5,13,2
1/26/20,,2,,1,,2,,,,,7,8,10,6,8,11,16,3,12,6,17,6
1/27/20,,1,,2,1,,,,,,13,6,9,11,3,6,15,4,9,5,5,9
1/28/20,1,1,1,,2,,,,,,4,8,4,9,5,12,9,4,11,3,11,6
1/29/20,1,1,,1,,1,,,,,5,6,3,6,3,9,14,8,14,7,14,9
1/30/20,,,,1,,1,,,,,5,8,2,11,3,6,7,7,11,3,5,3
1/31/20,,,,1,2,1,,,,,2,6,2,9,4,9,5,13,8,4,8,7
2/1/20,1,2,1,1,,,,,,,2,9,,2,5,7,3,5,4,5,4,8
2/2/20,,,,2,,,,,,,1,3,3,13,,7,3,5,4,7,1,9
2/3/20,,1,,1,,,,,,,,12,1,8,3,7,4,7,4,7,2,8
2/3/20,1,1,1,,3,1,,,,,,5,1,4,3,4,2,4,3,5,2,3
2/5/20,,2,,,1,,,,,,1,3,,5,,6,3,1,2,3,1,6
2/6/20,1,1,1,3,,,,,,,,5,,4,,2,1,4,,2,,5
2/7/20,2,2,1,1,1,3,,,,,,,,,,,,5,,4,1,3
2/8/20,,,,2,,1,,,,,,,,,,,1,2,1,5,1,4
2/9/20,,1,,,,1,,,,,,,,,,,,5,,,,3
2/10/20,,,1,,,,,,,,,,,,,,,,1,1,,1
2/11/20,3,,,,1,1,,,,,,,,,,,,,,1,,1
2/12/20,1,1,1,2,,1,,,,,,,,,,,,,,,,
2/13/20,1,2,2,4,1,2,,,,,,,,,,,,,,,,
2/14/20,1,3,1,1,2,4,,,,,,,,,,,,,,,,
2/15/20,1,1,1,1,,2,,,,,,,,,,,,,,,,
2/16/20,,1,1,1,,,,,,,,,,,,,,,,,,
2/17/20,,1,,,,2,,,,,,,,,,,,,,,,
2/18/20,1,,,,,,,,,,,,,,,,,,,,,
2/21/20,,,,1,,,,,,,,,,,,,,,,,,
2/22/20,,,1,,,,,,,,,,,,,,,,,,,
2/23/20,,2,,,,1,,,,,,,,,,,,,,,,
2/25/20,1,,,1,1,,,,,,,,,,,,,,,,,
2/26/20,,1,1,1,,1,,,,,,,,,,,,,,,,
2/27/20,,1,1,,,2,,,,,,,,,,,,,,,,
2/28/20,,1,1,2,2,1,,,,,,,,,,,,,,,,
2/29/20,2,1,1,,,,,,,,,,,,,,,,,,,
3/1/20,,1,,,,,,,,,,,,,,,,,,,,
3/2/20,,,,,1,1,,,,,,,,,,,,,,,,
3/3/20,,1,,1,,1,,,,,,,,,,,,,,,,
3/4/20,1,1,1,,,1,,,,,,,,,,,,,,,,
3/5/20,1,,1,2,,2,,,,,,,,,,,,,,,,
3/6/20,,,,,1,,,,,,,,,,,,,,,,,
3/7/20,1,,,,,,,,,,,,,,,,,,,,,
3/8/20,,1,,1,1,,,,,,,,,,,,,,,,,
3/9/20,,1,,1,,,,,,,,,,,,,,,,,,
3/10/20,,,1,1,,1,,,,,,,,,,,,,,,,
3/11/20,1,,,,,,,,,,,,,,,,,,,,,
3/12/20,,1,,,,1,,,,,,,,,,,,,,,,
3/14/20,,,,1,,,,,,,,,,,,,,,,,,
3/18/20,1,,,,,,,,,,,,,,,,,,,,,
3/19/20,,,,,1,,,,,,,,,,,,,,,,,
3/21/20,,,1,,,,,,,,,,,,,,,,,,,
3/23/20,,,,,,1,,,,,,,,,,,,,,,,
3/24/20,1,,,,,,,,,,,,,,,,,,,,,
3/28/20,,,1,,,1,,,,,,,,,,,,,,,,
3/31/20,,1,,,,,,,,,,,,,,,,,,,,
4/2/20,,1,,1,1,1,,,,,,,,,,,,,,,,
4/3/20,,,,,,1,,,,,,,,,,,,,,,,
4/4/20,1,,1,,,,,,,,,,,,,,,,,,,
4/5/20,,,,,,1,,,,,,,,,,,,,,,,
4/7/20,,1,,,,,,,,,,,,,,,,,,,,
4/8/20,,,1,,,,,,,,,,,,,,,,,,,